nombre,precio_por_kg,estaciones
Banana de Ecuador,150,"primavera,otoño,invierno"
Pera Williams,70,verano
Uva verde,60,verano
Frutillas,197.5,"primavera,verano"
Manzana,99.99,"verano,primavera,otoño,invierno"
Mandarina,85,"otoño,invierno"
Ciruela roja,115,verano
Ciruela amarilla,112,verano
Durazno,130,verano
Naranja,40,"verano,primavera,otoño,invierno"
Pomelo,75,"otoño,invierno"
Bergamota,91,"otoño,invierno"
Cereza,220,verano
Higo,205,verano
Melón cantalupo,130,verano
Melón amarillo,130,verano
Sandía,125,verano
Damasco,170,verano
Caqui,172,"otoño,invierno"
Limón,35,"verano,primavera,otoño,invierno"
